maze_size,algorithm,iterations,nodes_explored,path_length,policy_eval_iterations,time_taken
25,Policy Iteration,31,305,61,6,0.06352996826171875
25,Value Iteration,61,305,61,,0.045356035232543945
50,Policy Iteration,89,1337,141,3,0.8576231002807617
50,Value Iteration,142,1337,141,,0.3917980194091797
75,Policy Iteration,134,2935,193,1,3.376560926437378
75,Value Iteration,193,2935,193,,1.165343999862671
100,Policy Iteration,158,5362,265,2,7.5086352825164795
100,Value Iteration,270,5362,265,,3.293510913848877
125,Policy Iteration,185,8251,287,3,15.43119502067566
125,Value Iteration,294,8251,287,,5.021373987197876
150,Policy Iteration,211,12081,375,4,27.23780393600464
150,Value Iteration,375,12081,375,,9.449556112289429
