maze_size,algorithm,nodes_explored,path_length,time_taken
50,A* (Manhattan),582,99,0.0021190643310546875
50,BFS,1501,99,0.0023910999298095703
50,DFS,371,269,0.0005600452423095703
100,A* (Manhattan),2377,199,0.005697965621948242
100,BFS,6096,199,0.01093602180480957
100,DFS,335,317,0.0005156993865966797
150,A* (Manhattan),3396,299,0.009875774383544922
150,BFS,13715,299,0.02536797523498535
150,DFS,681,611,0.002025127410888672
200,A* (Manhattan),7407,399,0.02475428581237793
200,BFS,24435,399,0.0594940185546875
200,DFS,4075,3089,0.04173398017883301
250,A* (Manhattan),11097,505,0.050785064697265625
250,BFS,38207,505,0.07623481750488281
250,DFS,36992,2079,2.0386500358581543
